Date,Home Team,Away Team,Home Score,Away Score,Home Line Open,Home Line Close,Neutral Venue?,Playoff Game?
2026-10-11,New Orleans Saints,Minnesota Vikings,,,,,,
2026-10-11,Washington Commanders,New York Giants,,,,,,
2026-10-11,New England Patriots,Las Vegas Raiders,,,,,,
2026-10-11,Los Angeles Chargers,Denver Broncos,,,,,,
2026-10-11,Green Bay Packers,Chicago Bears,,,,,,
2026-10-11,Arizona Cardinals,Detroit Lions,,,,,,
2026-10-11,Seattle Seahawks,San Francisco 49ers,,,,,,
2026-10-11,Atlanta Falcons,Baltimore Ravens,,,,,,
2026-10-12,Los Angeles Rams,Buffalo Bills,,,,,,
2026-10-15,Denver Broncos,Seattle Seahawks,,,,,,
2026-10-18,Jacksonville Jaguars,Houston Texans,,,,,Y,
2026-10-18,Philadelphia Eagles,Carolina Panthers,,,,,,
2026-10-18,Atlanta Falcons,Chicago Bears,,,,,,
2026-10-18,New York Giants,New Orleans Saints,,,,,,
2026-10-18,New England Patriots,New York Jets,,,,,,
2026-10-18,Indianapolis Colts,Tennessee Titans,,,,,,
2026-10-18,Tampa Bay Buccaneers,Pittsburgh Steelers,,,,,,
2026-10-18,Cleveland Browns,Baltimore Ravens,,,,,,
2026-10-18,Los Angeles Rams,Arizona Cardinals,,,,,,
2026-10-18,Las Vegas Raiders,Buffalo Bills,,,,,,
2026-10-18,Kansas City Chiefs,Los Angeles Chargers,,,,,,
2026-10-18,Green Bay Packers,Dallas Cowboys,,,,,,
2026-10-19,San Francisco 49ers,Washington Commanders,,,,,,
2026-10-22,Chicago Bears,New England Patriots,,,,,,
2026-10-25,New Orleans Saints,Pittsburgh Steelers,,,,,Y,
2026-10-25,Baltimore Ravens,Cincinnati Bengals,,,,,,
2026-10-25,Tennessee Titans,Cleveland Browns,,,,,,
2026-10-25,Minnesota Vikings,Indianapolis Colts,,,,,,
2026-10-25,New York Jets,Miami Dolphins,,,,,,
2026-10-25,Houston Texans,New York Giants,,,,,,
2026-10-25,Atlanta Falcons,San Francisco 49ers,,,,,,
2026-10-25,Carolina Panthers,Tampa Bay Buccaneers,,,,,,
2026-10-25,Arizona Cardinals,Denver Broncos,,,,,,
2026-10-25,Detroit Lions,Green Bay Packers,,,,,,
2026-10-25,Las Vegas Raiders,Los Angeles Rams,,,,,,
2026-10-25,Seattle Seahawks,Kansas City Chiefs,,,,,,
2026-10-26,Philadelphia Eagles,Dallas Cowboys,,,,,,
2026-10-29,Green Bay Packers,Carolina Panthers,,,,,,
2026-11-01,Tampa Bay Buccaneers,Atlanta Falcons,,,,,,
2026-11-01,Pittsburgh Steelers,Cleveland Browns,,,,,,
2026-11-01,Jacksonville Jaguars,Indianapolis Colts,,,,,,
2026-11-01,Dallas Cowboys,Arizona Cardinals,,,,,,
2026-11-01,Detroit Lions,Minnesota Vikings,,,,,,
2026-11-01,Cincinnati Bengals,Tennessee Titans,,,,,,
2026-11-01,New York Jets,Las Vegas Raiders,,,,,,
2026-11-01,Buffalo Bills,Baltimore Ravens,,,,,,
2026-11-01,Los Angeles Rams,Los Angeles Chargers,,,,,,
2026-11-01,Denver Broncos,Kansas City Chiefs,,,,,,
2026-11-01,Miami Dolphins,New England Patriots,,,,,,
2026-11-01,Washington Commanders,Philadelphia Eagles,,,,,,
2026-11-02,Seattle Seahawks,Chicago Bears,,,,,,
2026-11-05,Baltimore Ravens,Jacksonville Jaguars,,,,,,
2026-11-08,Atlanta Falcons,Cincinnati Bengals,,,,,Y,
2026-11-08,New Orleans Saints,Cleveland Browns,,,,,,
2026-11-08,Indianapolis Colts,Dallas Cowboys,,,,,,
2026-11-08,Carolina Panthers,Denver Broncos,,,,,,
2026-11-08,Miami Dolphins,Detroit Lions,,,,,,
2026-11-08,Philadelphia Eagles,New York Giants,,,,,,
2026-11-08,Kansas City Chiefs,New York Jets,,,,,,
2026-11-08,Washington Commanders,Los Angeles Rams,,,,,,
2026-11-08,Los Angeles Chargers,Houston Texans,,,,,,
2026-11-08,San Francisco 49ers,Las Vegas Raiders,,,,,,
2026-11-08,Seattle Seahawks,Arizona Cardinals,,,,,,
2026-11-08,New England Patriots,Green Bay Packers,,,,,,
2026-11-08,Chicago Bears,Tampa Bay Buccaneers,,,,,,
2026-11-09,Minnesota Vikings,Buffalo Bills,,,,,,
2026-11-12,New York Giants,Washington Commanders,,,,,,
2026-11-15,Detroit Lions,New England Patriots,,,,,Y,
2026-11-15,New York Jets,Buffalo Bills,,,,,,
2026-11-15,New Orleans Saints,Carolina Panthers,,,,,,
2026-11-15,Cleveland Browns,Houston Texans,,,,,,
2026-11-15,Tennessee Titans,Jacksonville Jaguars,,,,,,
2026-11-15,Atlanta Falcons,Kansas City Chiefs,,,,,,
2026-11-15,Indianapolis Colts,Miami Dolphins,,,,,,
2026-11-15,Green Bay Packers,Minnesota Vikings,,,,,,
2026-11-15,Arizona Cardinals,Los Angeles Rams,,,,,,
2026-11-15,Las Vegas Raiders,Seattle Seahawks,,,,,,
2026-11-15,Dallas Cowboys,San Francisco 49ers,,,,,,
2026-11-15,Cincinnati Bengals,Pittsburgh Steelers,,,,,,
2026-11-16,Baltimore Ravens,Los Angeles Chargers,,,,,,
2026-11-19,Houston Texans,Indianapolis Colts,,,,,,
2026-11-22,Kansas City Chiefs,Arizona Cardinals,,,,,,
2026-11-22,New York Giants,Jacksonville Jaguars,,,,,,
2026-11-22,Buffalo Bills,Miami Dolphins,,,,,,
2026-11-22,Chicago Bears,New Orleans Saints,,,,,,
2026-11-22,Dallas Cowboys,Tennessee Titans,,,,,,
2026-11-22,Carolina Panthers,Baltimore Ravens,,,,,,
2026-11-22,Detroit Lions,Tampa Bay Buccaneers,,,,,,
2026-11-22,Los Angeles Chargers,New York Jets,,,,,,
2026-11-22,Philadelphia Eagles,Pittsburgh Steelers,,,,,,
2026-11-22,Denver Broncos,Las Vegas Raiders,,,,,,
2026-11-22,San Francisco 49ers,Minnesota Vikings,,,,,Y,
2026-11-23,Washington Commanders,Cincinnati Bengals,,,,,,
2026-11-25,Los Angeles Rams,Green Bay Packers,,,,,,
2026-11-26,Detroit Lions,Chicago Bears,,,,,,
2026-11-26,Dallas Cowboys,Philadelphia Eagles,,,,,,
2026-11-26,Buffalo Bills,Kansas City Chiefs,,,,,,
2026-11-27,Pittsburgh Steelers,Denver Broncos,,,,,,
2026-11-29,Minnesota Vikings,Atlanta Falcons,,,,,,
2026-11-29,Cincinnati Bengals,New Orleans Saints,,,,,,
2026-11-29,Indianapolis Colts,New York Giants,,,,,,
2026-11-29,Miami Dolphins,New York Jets,,,,,,
2026-11-29,Cleveland Browns,Las Vegas Raiders,,,,,,
2026-11-29,Houston Texans,Baltimore Ravens,,,,,,
2026-11-29,Jacksonville Jaguars,Tennessee Titans,,,,,,
2026-11-29,San Francisco 49ers,Seattle Seahawks,,,,,,
2026-11-29,Arizona Cardinals,Washington Commanders,,,,,,
2026-11-29,Los Angeles Chargers,New England Patriots,,,,,,
2026-11-30,Tampa Bay Buccaneers,Carolina Panthers,,,,,,
2026-12-03,Los Angeles Rams,Kansas City Chiefs,,,,,,
2026-12-06,Cleveland Browns,Cincinnati Bengals,,,,,,
2026-12-06,Atlanta Falcons,Detroit Lions,,,,,,
2026-12-06,New Orleans Saints,Green Bay Packers,,,,,,
2026-12-06,Chicago Bears,Jacksonville Jaguars,,,,,,
2026-12-06,Tampa Bay Buccaneers,Los Angeles Chargers,,,,,,
2026-12-06,New York Giants,San Francisco 49ers,,,,,,
2026-12-06,Tennessee Titans,Washington Commanders,,,,,,
2026-12-06,Denver Broncos,Miami Dolphins,,,,,,
2026-12-06,Arizona Cardinals,Philadelphia Eagles,,,,,,
2026-12-06,New England Patriots,Buffalo Bills,,,,,,
2026-12-06,Minnesota Vikings,Carolina Panthers,,,,,,
2026-12-06,Pittsburgh Steelers,Houston Texans,,,,,,
2026-12-07,Seattle Seahawks,Dallas Cowboys,,,,,,
2026-12-10,New England Patriots,Minnesota Vikings,,,,,,
2026-12-13,Cleveland Browns,Atlanta Falcons,,,,,,
2026-12-13,Miami Dolphins,Chicago Bears,,,,,,
2026-12-13,Philadelphia Eagles,Indianapolis Colts,,,,,,
2026-12-13,New York Jets,Denver Broncos,,,,,,
2026-12-13,Washington Commanders,Houston Texans,,,,,,
2026-12-13,Carolina Panthers,New Orleans Saints,,,,,,
2026-12-13,Detroit Lions,Tennessee Titans,,,,,,
2026-12-13,Baltimore Ravens,Tampa Bay Buccaneers,,,,,,
2026-12-13,Las Vegas Raiders,Los Angeles Chargers,,,,,,
2026-12-13,Cincinnati Bengals,Kansas City Chiefs,,,,,,
2026-12-13,Seattle Seahawks,New York Giants,,,,,,
2026-12-13,San Francisco 49ers,Los Angeles Rams,,,,,,
2026-12-13,Green Bay Packers,Buffalo Bills,,,,,,
2026-12-14,Jacksonville Jaguars,Pittsburgh Steelers,,,,,,
2026-12-17,Los Angeles Chargers,San Francisco 49ers,,,,,,
2026-12-19,Philadelphia Eagles,Seattle Seahawks,,,,,,
2026-12-19,Buffalo Bills,Chicago Bears,,,,,,
2026-12-20,Washington Commanders,Atlanta Falcons,,,,,,
2026-12-20,Carolina Panthers,Cincinnati Bengals,,,,,,
2026-12-20,New York Giants,Cleveland Browns,,,,,,
2026-12-20,Tennessee Titans,Indianapolis Colts,,,,,,
2026-12-20,Houston Texans,Jacksonville Jaguars,,,,,,
2026-12-20,Green Bay Packers,Miami Dolphins,,,,,,
2026-12-20,Tampa Bay Buccaneers,New Orleans Saints,,,,,,
2026-12-20,Pittsburgh Steelers,Baltimore Ravens,,,,,,
2026-12-20,Arizona Cardinals,New York Jets,,,,,,
2026-12-20,Los Angeles Rams,Dallas Cowboys,,,,,,
2026-12-20,Las Vegas Raiders,Denver Broncos,,,,,,
2026-12-20,Minnesota Vikings,Detroit Lions,,,,,,
2026-12-21,Kansas City Chiefs,New England Patriots,,,,,,
2026-12-24,Philadelphia Eagles,Houston Texans,,,,,,
2026-12-25,Chicago Bears,Green Bay Packers,,,,,,
2026-12-25,Denver Broncos,Buffalo Bills,,,,,,
2026-12-25,Seattle Seahawks,Los Angeles Rams,,,,,,
2026-12-27,Pittsburgh Steelers,Carolina Panthers,,,,,,
2026-12-27,Indianapolis Colts,Cincinnati Bengals,,,,,,
2026-12-27,Baltimore Ravens,Cleveland Browns,,,,,,
2026-12-27,New Orleans Saints,Arizona Cardinals,,,,,,
2026-12-27,New York Jets,New England Patriots,,,,,,
2026-12-27,Miami Dolphins,Los Angeles Chargers,,,,,,
2026-12-27,Atlanta Falcons,Tampa Bay Buccaneers,,,,,,
2026-12-27,Minnesota Vikings,Washington Commanders,,,,,,
2026-12-27,Las Vegas Raiders,Tennessee Titans,,,,,,
2026-12-27,Kansas City Chiefs,San Francisco 49ers,,,,,,
2026-12-27,Dallas Cowboys,Jacksonville Jaguars,,,,,,
2026-12-28,Detroit Lions,New York Giants,,,,,,
2026-12-31,Cincinnati Bengals,Baltimore Ravens,,,,,,
2027-01-03,Miami Dolphins,Buffalo Bills,,,,,,
2027-01-03,Cleveland Browns,Indianapolis Colts,,,,,,
2027-01-03,New England Patriots,Denver Broncos,,,,,,
2027-01-03,Los Angeles Chargers,Kansas City Chiefs,,,,,,
2027-01-03,New York Jets,Minnesota Vikings,,,,,,
2027-01-03,Atlanta Falcons,New Orleans Saints,,,,,,
2027-01-03,Dallas Cowboys,New York Giants,,,,,,
2027-01-03,Tennessee Titans,Pittsburgh Steelers,,,,,,
2027-01-03,Tampa Bay Buccaneers,Los Angeles Rams,,,,,,
2027-01-03,Carolina Panthers,Seattle Seahawks,,,,,,
2027-01-03,Jacksonville Jaguars,Washington Commanders,,,,,,
2027-01-03,Arizona Cardinals,Las Vegas Raiders,,,,,,
2027-01-03,Chicago Bears,Detroit Lions,,,,,,
2027-01-03,San Francisco 49ers,Philadelphia Eagles,,,,,,
2027-01-04,Green Bay Packers,Houston Texans,,,,,,
2027-01-10,Carolina Panthers,Atlanta Falcons,,,,,,
2027-01-10,Minnesota Vikings,Chicago Bears,,,,,,
2027-01-10,Cincinnati Bengals,Cleveland Browns,,,,,,
2027-01-10,Washington Commanders,Dallas Cowboys,,,,,,
2027-01-10,Green Bay Packers,Detroit Lions,,,,,,
2027-01-10,Indianapolis Colts,Jacksonville Jaguars,,,,,,
2027-01-10,New England Patriots,Miami Dolphins,,,,,,
2027-01-10,Buffalo Bills,New York Jets,,,,,,
2027-01-10,Houston Texans,Tennessee Titans,,,,,,
2027-01-10,New York Giants,Philadelphia Eagles,,,,,,
2027-01-10,Baltimore Ravens,Pittsburgh Steelers,,,,,,
2027-01-10,Kansas City Chiefs,Las Vegas Raiders,,,,,,
2027-01-10,Denver Broncos,Los Angeles Chargers,,,,,,
2027-01-10,Los Angeles Rams,Seattle Seahawks,,,,,,
2027-01-10,Arizona Cardinals,San Francisco 49ers,,,,,,
2027-01-10,New Orleans Saints,Tampa Bay Buccaneers,,,,,,
